island,site,date,observer,row,col,trt,spp,ht,numleaves,leafnum,wilt,damclass,primdam,secdam,notes,entby,proofby,dateent
guam,ANAOarray,10-Jun-10,EH,1,A,excl,Papaya,27.5,5,1,yes,na,na,na,,S. Perez,,
tinian,pina,13-Sep-10,SF,13,a,open,Neisosperma,30.5,8,2,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,13,a,open,Neisosperma,30.5,8,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,13,a,open,Neisosperma,30.5,8,4,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,13,a,open,Neisosperma,30.5,8,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,13,a,open,Neisosperma,30.5,8,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,13,a,open,Neisosperma,30.5,8,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,13,a,open,Neisosperma,30.5,8,8,,0,na,na,,SF,,
guam,anaoarray,2-Jul-10,BE,1,a,excl,Papaya,32.1,7,1,no,<2,h,dis,,TL,,
tinian,pina,13-Sep-10,SF,8,b,open,Morinda,15,8,2,,10-May,h,dis,,SF,,
tinian,pina,13-Sep-10,SF,8,b,open,Morinda,15,8,3,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,8,b,open,Morinda,15,8,4,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,8,b,open,Morinda,15,8,5,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,8,b,open,Morinda,15,8,6,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,8,b,open,Morinda,15,8,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,8,b,open,Morinda,15,8,8,,0,na,na,,SF,,
guam,ANAOarray,10-Jun-10,EH,1,A,open,Papaya,24.3,6,1,no,<2,Dis,NA,,S. Perez,,
tinian,pina,13-Sep-10,SF,9,b,open,Morinda,12.1,8,2,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,9,b,open,Morinda,12.1,8,3,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,9,b,open,Morinda,12.1,8,4,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,9,b,open,Morinda,12.1,8,5,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,9,b,open,Morinda,12.1,8,6,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,9,b,open,Morinda,12.1,8,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,9,b,open,Morinda,12.1,8,8,,<2,def,na,,SF,,
guam,anaoarray,2-Jul-10,SP,1,a,open,Papaya,31.9,9,1,no,10-May,dis,h,,TL,,
tinian,pina,13-Sep-10,SF,10,b,open,Papaya,48.2,9,2,,25-Oct,h,na,,SF,,
tinian,pina,13-Sep-10,SF,10,b,open,Papaya,48.2,9,3,,5-Feb,h,dis,,SF,,
tinian,pina,13-Sep-10,SF,10,b,open,Papaya,48.2,9,4,,25-50,dis,h,leaf rot,SF,,
tinian,pina,13-Sep-10,SF,10,b,open,Papaya,48.2,9,5,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,10,b,open,Papaya,48.2,9,6,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,10,b,open,Papaya,48.2,9,7,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,10,b,open,Papaya,48.2,9,8,,0,na,na,,SF,,
tinian,pina,13-Sep-10,SF,10,b,open,Papaya,48.2,9,9,,25-Oct,r,h,,SF,,
guam,ANAOarray,10-Jun-10,EH,1,B,excl,Neisosperma,22.8,8,1,no,25-Oct,Def,NA,,S. Perez,,
tinian,pina,13-Sep-10,SF,6,c,open,Papaya,46.7,7,2,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,6,c,open,Papaya,46.7,7,3,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,6,c,open,Papaya,46.7,7,4,,10-May,h,na,,SF,,
tinian,pina,13-Sep-10,SF,6,c,open,Papaya,46.7,7,5,,5-Feb,h,na,,SF,,
tinian,pina,13-Sep-10,SF,6,c,open,Papaya,46.7,7,6,,<2,h,na,,SF,,
tinian,pina,13-Sep-10,SF,6,c,open,Papaya,46.7,7,7,,10-May,r,def,,SF,,
guam,anaoarray,2-Jul-10,SP,1,b,excl,Neisosperma,24.5,8,1,no,25-Oct,def,h,,TL,,
tinian,pina,13-Sep-10,SF,8,c,open,Neisosperma,29.5,10,2,,<2,dis,na,,SF,,
tinian,pina,13-Sep-10,SF,8,c,open,Neisosperma,29.5,10,3,,0,na,na,,SF,,
